SIRET,SIREN,DEPARTEMENT,NOM_COMMUNE,INSEE,CODE_COMMUNE,POP_2022,FRAIS_REPRESENTATION,EUR_PAR_HAB,COUL_POL,LATITUDE,LONGITUDE,TOTAL_CHARGES,CHARGES_PERSONNEL,ACHATS_SERVICES,CHARGES_FINANCIERES,CHARGES_EXCEPT,AUTRES_CHARGES_GESTION,RATIO_FRAIS_REP
21250418700015,212504187,25,NANCRAY,418,25418,1300,167.08,0.13,Non classé,47.2500159074,6.17754148907,866018.36,230840.98,408306.06,20491.43,5800.0,117769.79,0.0193
21250454200011,212504542,25,PIREY,454,25454,2179,590.6,0.27,Non classé,47.2606621308,5.96639565137,1838717.12,609039.96,463979.36,4532.23,492418.15,129916.13,0.0321
21250532500010,212505325,25,SAONE,532,25532,3142,3336.94,1.06,Non classé,47.214147166,6.1131738065,2843094.69,1017484.02,903093.34,213127.38,3077.68,328785.12,0.1174
21260055500016,212600555,26,BOULC,55,26055,162,135.0,0.83,Non classé,44.6379699146,5.58442914276,334427.99,41519.42,107466.79,0.0,240.0,117215.38,0.0404
21260076100010,212600761,26,CHARENS,76,26076,31,40.0,1.29,Non classé,44.5423083646,5.50825607995,74753.29,0.0,37034.13,0.0,0.0,17386.16,0.0535
21260113200013,212601132,26,DIE,113,26113,4796,670.0,0.14,Gauche,44.7482217645,5.37640774818,7991449.72,3515765.34,2379289.74,253793.23,8194.53,992457.17,0.0084
21260121500016,212601215,26,ESPELUCHE,121,26121,1137,120.0,0.11,Non classé,44.521406146,4.82247674959,696158.4,363850.96,214261.91,4363.99,1074.0,105555.04,0.0172
21260124900015,212601249,26,ETOILE SUR RHONE,124,26124,5497,613.0,0.11,Droite,44.8313893504,4.87476252885,5288693.44,2329133.73,1783338.6,56370.29,7769.57,674917.09,0.0116
21260142100010,212601421,26,GLANDAGE,142,26142,115,40.0,0.35,Non classé,44.6985798592,5.61337993572,233528.94,26985.23,102590.91,597.63,4853.39,44056.22,0.0171
21260160300013,212601603,26,LAVEYRON,160,26160,1253,44.5,0.04,Non classé,45.2037746922,4.81998155798,897911.52,400188.81,306898.09,5980.17,2040.14,164322.49,0.005
